Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Final Destination,0.202724382,0.710770249,0.055416007,0.007734293,0.019505883,0.003849192,Realist,Past,Daytime,"['Thriller', 'Horror']"
Finding Nemo,0.1382678,0.093354352,0.699156821,0.004198193,0.059974138,0.005048655,Realist,Past,Daytime,"['Adventure', 'Comedy', 'Family']"
Five Easy Pieces,0.162544623,0.637148798,0.171477735,0.012544468,0.010378279,0.005906145,Realist,Present,Daytime,['Drama']
Flash Gordon,0.457585096,0.051755782,0.473943144,0.005301056,0.008413671,0.003001238,Child,Past,Daytime,"['Adventure', 'Fantasy', 'Action']"
Fletch,0.105312735,0.079926983,0.491774499,0.010294474,0.305963159,0.006728145,Law Person/Outlaw,Past,Daytime,['Comedy']
Flight,0.550326288,0.314661503,0.085211188,0.002031304,0.043692432,0.00407729,Soldier,Past,Daytime,['Drama']
Forrest Gump,0.001588019,0.982021809,0.000676333,0.000414881,0.00580406,0.009494912,Superhuman/Scientist/Alien/Robot,Past,Daytime,"['Comedy', 'Drama']"
Four Feathers,0.017183367,0.742407858,0.229826719,0.002498799,0.00354716,0.004536052,Fighter,Present,Daytime,"['Adventure', 'War', 'Drama']"
Four Rooms,0.636002183,0.019824203,0.317161858,0.007086169,0.016820556,0.003105136,Detective/Spy,Past,Nighttime,"['Comedy', 'Drama']"
Foxcatcher,0.73078537,0.215661913,0.033329353,0.002829475,0.015296204,0.002097683,Law Person/Outlaw,Past,Daytime,['Drama']
Fracture,0.027247988,0.529363692,0.020697001,0.005531051,0.408197284,0.008963003,Realist,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Frances,0.00314288,0.002692817,0.990077257,0.000886418,0.00266401,0.000536614,Monster/Killer/Victim,Past,Daytime,['Drama']
Frankenstein,0.473059773,0.174096823,0.203276545,0.020045212,0.110961616,0.018559942,Realist,Present,Nighttime,"['Fantasy', 'Romance', 'Horror', 'Drama', 'Sci-Fi']"
Frankenweenie,0.473059773,0.174096823,0.203276545,0.020045212,0.110961616,0.018559942,Realist,Present,Nighttime,"['Comedy', 'Family']"
Freaked,0.474796236,0.110826388,0.025293682,0.348136157,0.02778393,0.013163565,Detective/Spy,Past,Daytime,"['Comedy', 'Sci-Fi']"
Freddy vs. Jason,0.097334802,0.289425135,0.140270919,0.004700165,0.463369101,0.004899775,Law Person/Outlaw,Past,Nighttime,"['Thriller', 'Fantasy', 'Horror', 'Action']"
Frequency,0.069539577,0.10475681,0.477022469,0.003966273,0.04367438,0.3010405,Detective/Spy,Past,Daytime,['Thriller']
Friday the 13th Part VIII Jason Takes Manhattan,0.003029546,0.018444525,0.959983468,0.013323716,0.002477448,0.002741318,Fighter,Past,Daytime,['Horror']
Friday the 13th,0.03297079,0.010640977,0.938401878,0.005744322,0.010146161,0.002095937,Realist,Past,Daytime,"['Thriller', 'Horror']"
Fright Night 1985,0.047315776,0.159143701,0.655161381,0.032434758,0.092533104,0.013411191,Detective/Spy,Past,Nighttime,"['Thriller', 'Comedy', 'Horror']"
Fright Night,0.197561175,0.690364122,0.011048969,0.001673409,0.096848913,0.002503429,Detective/Spy,Past,Daytime,"['Horror', 'Comedy']"
From Dusk Till Dawn,0.822694778,0.103387527,0.045683224,0.004310388,0.021907922,0.002016162,Detective/Spy,Past,Daytime,"['Thriller', 'Comedy', 'Horror', 'Action']"
